10001,Afognak Lake Airport
10003,Bear Creek Mining Strip
10004,Lik Mining Camp
10005,Little Squaw Airport
10006,Kizhuyak Bay
10007,Klawock Seaplane Base
10008,Elizabeth Island Airport
10009,Augustin Island
10010,Columbia County
10011,Grand Canyon West
10012,Blairstown Airport
10013,Crosbyton Municipal
10014,Blair Lake
10015,Deadmans Bay Airport
10016,Hallo Bay Airport
10017,Red Lake Airport
10018,Shell Lake Airport
10019,Navigator Airstrip
10020,Roland Norton Memorial Airstrip
10021,Pillar Bay Airport
10022,Johnstone Point Airport
10023,Tikchik Lodge Airport
10024,Bell Creek Airport
10025,Cinnabar Airport
10026,Mountaintop Mine Airport
10027,Whitebear Airport
10028,Puviaq Airport
10029,Arley Lake Airport
10030,Port Vita Airport
10031,Kantishna Airport
10033,Alpine Airstrip
10034,Serpentine Airport
10035,Driftwood Bay Airport
10036,Bradley Lake Airport
10037,Chilkat Lake Airport
10038,Nugget Creek Airport
10039,Ivotuk Airstrip
10040,Pogo Mines Airport
10041,Ayakulik River Airport
10042,Kiluda Bay Airport
10043,Terror Lake Airport
10044,Selief Bay Airport
10047,Laura Lake Airport
10049,Deep Bay Airport
10050,Kako Airport
10051,Molly Creek Airport
10052,Ptarmigan Lake Airport
10053,Cape Simpson Airport
10054,Kogru River Airport
10055,Teshepkuk Lake Airport
10056,Trident Basin Seaplane Base
10058,Lake Florence Airport
10059,Lake Hasselborg Airport
10060,Distin Lake Airport
10061,Port Hobron Airport
10062,Mooseville Airstrip Airport
10063,Big Bay Airport
10064,Wien Lake Airport
10065,Silver Salmon Creek Airport
10066,Blear Lake Airport
10067,Cannery Bay Airport
10069,Johnsons Landing
10070,International Seafoods Airport
10071,Cosna River Airport
10072,Ivatuk Airport
10074,Cape Sarichef AFS
10075,Taylor Mountain
10076,Coal Creek
10078,Karluk Portage Airport
10079,Hope Airport
10080,Viekoda Bay Airport
10082,Cathedral Strip
10083,Village Islands Airport
10084,Bear Cove Farm
10085,Chinitna Bay Airport
10086,McKinley National Park
10087,Dog Fish Bay
10088,Malina Bay Airport
10089,Red Fox Bay Airport
10090,Shearwater Airport
10091,Lake
10092,Cape Simpson No. 1
10093,Cape Simpson No. 7
10094,Cape Simpson #1
10095,Nikiski Private Airstrip
10096,Petrof Point Airport
10097,Denali West Lodge Private
10098,Big River Airport
10100,Carry Inlet Airport
10102,Montague Island Airport
10103,Shannon Pond Airport
10104,Omalik Lagoon Airport
10105,Omolik Lagoon Airport
10106,Bradley Lake Project Airport
10107,Ice Strip
10108,Ice Strip
10109,Ice Strip
10110,Akulik Air Strip
10111,Deadfall Air Strip
10112,Eagle Creek Airport
10113,Ice Kong
10116,Glacier Split
10117,Selby Lake Airport
10118,Anaa Airport
10119,Arrabury Station
10120,El Arish International
10121,Rabah Bitat
10122,Apalachicola Regional
10123,Aachen/Merzbruck
10124,Arraias Airport
10125,Aalborg Airport
10126,Malamala
10127,Al Ain International
10128,Anaco Airport
10129,Vityazevo
10130,Tirstrup
10131,Asau W Sam
10132,Araxa Airport
10134,Abadan Airport
10135,Lehigh Valley International
10136,Abilene Regional
10137,Abidjan Felix Houphouet Boigny International
10138,Kabri Dar Airport
10139,Ambler River
10140,Albuquerque International Sunport
10141,Aberdeen Regional
10142,Abu Simbel Airport
10143,Al-Baha Airport
10144,Abuja Nnamdi Azikiwe International
10145,Albury Airport
10146,Southwest Georgia Regional
10147,Aberdeen Dyce
10148,General Juan N Alvarez International
10149,Antrim County
10150,Accra Kotoka International
10151,Lanzarote
10152,St Gallen Altenrhein
10153,Alderney Airport
10154,Nantucket Memorial
10155,Waco Regional
10156,Achutupo Airport
10157,Arcata
10158,Nafec Atlantic City
10159,Adana Sakirpasa
10160,Adnan Menderes
10161,Andakombe Airport
10162,Haile Selassie I International
10163,Aden International
10164,King Abdullah Ben
10165,Adak NS
10166,Adelaide International
10167,Ardmore Municipal
10168,Andes Airport
10169,Andamooka Airport
10170,Kodiak Airport
10171,Addison
10172,Andrews AFB
10173,RAF Leuchars
10174,San Andres
10175,Al Dhafra Air Base
10176,Aleneva Airport
10177,Aek Godang
10178,Abeche Airport
10180,Aioun El Atrouss Airport
10181,Aeroparque Jorge Newbery
10182,Adler/Sochi Airport
10183,Vigra
10184,Allakaket Airport
10185,England AFB
10186,Akureyri Airport
10188,San Rafael Airport
10189,USAF Academy Airfield
10190,Nebraska City Municipal
10191,Afton Municipal
10192,Anson County
10194,Fort Worth Alliance
10195,Afyon Airport
10196,Agadir/Inezgane
10197,Muehlhausen
10198,Allegheny County
10199,La Garenne
10200,Angoram Airport
10201,Angelholm-Helsingborg
10202,Kagua Airport
10203,Wanigela Airport
10204,Angoon Seaplane Base
10205,Malaga Airport
10206,Agrinion New
10207,Agra Airport
10208,Bush Field
10209,Guarani International
10210,Jesus Teran International
10211,Oswaldo Guevara Mujica
10212,Agatti Island Airport
10213,Naha AB
10214,Abha Airport
10215,Ardmore Airport
10216,Athens Municipal
10217,Alghero
10218,Ahuas Airport
10219,Amchitka
10220,Cherif El Idrissi International
10221,Alliance Municipal
10222,Anita Bay Airport
10223,Anderson Municipal-Darlington Field
10224,Aiken Municipal
10225,Wainwright Airport
10226,Aitutaki Airport
10227,Bader Field
10228,Lee C Fine Memorial
10229,Ajaccio/Campo Dell Oro
10230,Al Jouf
10231,Akjoujt Airport
10232,Lengpui
10233,Ouani
10234,Arvidsjaur Airport
10235,Santa Maria
10236,Manu Dayak
10237,Atka Airport
10238,Akron Fulton International
10239,Kufra
10241,Akiak Airport
10242,Asahikawa Airport
10243,Akhiok Airport
10244,Auckland International
10245,King Salmon Airport
10246,Akron Washington County
10247,Anaktuvuk Pass Airport
10248,Akure Airport
10249,Auki Airport
10250,Akrotiri Airport
10251,Aktyubinsk Airport
10252,Akyab Airport
10253,Albertville Regional-Thomas J Brumlik Field
10254,Shelby County
10255,Madison County Executive/Tom Sharp Jr. Field
10256,Alma-Ata Airport
10257,Albany International
10258,Alicante Airport
10259,Alpine Casparis Municipal
10260,Alta Airport
10261,Houari Boumediene
10262,Albany Airport
10263,Alice International
10264,Alexander Bay Airport
10265,Asela Airport
10266,Alamogordo White Sands Regional
10267,St. Louis Regional
10268,Waterloo Regional
10269,Neirab
10270,Alegrete Airport
10271,Alexandra Airport
10272,Alamosa Municipal
10273,Alenquer Airport
10274,Alula Airport
10275,Walla Walla Regional
10276,Thomas C. Russell Field
10277,Alexandria International
10278,Alitak Seaplane Base
10279,Amarillo International
10280,Ahmedabad Airport
10281,Ama Airport
10282,Amboin Airport
10283,Arba Minch Airport
10284,Rembiga
10285,Animas Air Park
10286,Puerto Armuelles Airport
10287,Amman Airport
10288,Gratiot Community
10289,Mao Airport
10290,Ampanihy Airport
10291,Pattimura
10292,Schiphol
10294,Ames Municipal
10295,Ammaroo Station
10296,Ambatomainty Airport
10297,Anaheim-Disneyland HP
